"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CCR7","CD45RO","CD69","CD45RA","CD3","CD127","CD31","CD8","CD19","CD4","CD28","TIME","fraction"
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs",13395.51953125,11356,73730.71875,26306.640625,21987,75607.453125,0.69465434551239,0.239933356642723,0.360768854618073,0.341866791248322,1.40193367004395,-0.6613689661026,0.147230938076973,0.131646692752838,0.879633128643036,0.522248148918152,-0.0554200112819672,10071.7998046875,0.683
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595410.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Ileum.595400.fcs",12356.169921875,11015.5,72871.57421875,11965.8603515625,10692,72231.4921875,0.602602809667587,0.318749666213989,0.154872052371502,0.188586182892323,0.867818206548691,-0.363475993275642,0.0882476940751076,0.000332256779074669,0.522826731204987,0.560619682073593,-0.0196657776832581,11509,0.3996
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595415.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Jejunum.595402.fcs",13411.919921875,12311,70455.8984375,18796.3203125,17362,69754.140625,0.637640655040741,0.190423429012299,0.283845216035843,0.572227656841278,1.17282342910767,-0.217153444886208,0.142507314682007,0.244189575314522,1.02359330654144,0.358999133110046,-0.0934753715991974,9122.2001953125,0.4138
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Colon.595421.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Blood.595403.fcs",12751.6196289062,11718,70360.859375,16924.1904296875,16273,64685.322265625,0.566684156656265,0.827622264623642,0.263322666287422,0.393912613391876,1.07394468784332,-0.253942549228668,0.313315123319626,0.248186431825161,0.41797100007534,0.260636776685715,0.129400953650475,9115.75,0.5892
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Colon.595574.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs",13448.8203125,12688,67201.59375,9744.8408203125,8903,68447.453125,0.459696441888809,0.367908805608749,0.139108434319496,0.179621562361717,0.723810136318207,-0.166863158345222,0.0310217253863811,0.0703362971544266,0.258923441171646,0.218741297721863,0.0544249974191189,7603.89990234375,0.8718
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Colon.595581.fcs","cluster1","CD4-|CD45RA-|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_ILN.595405.fcs",17740.2900390625,15517.5,72322.13671875,17932.8603515625,16038.5,73948.80078125,0.934361010789871,1.03647023439407,0.376299187541008,0.692533522844315,1.27683508396149,-0.351715937256813,0.264195099473,0.186062060296535,0.517787724733353,0.514617532491684,0.156898744404316,12696.5,0.2288
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs",11479.1796875,9801,73467.9453125,23008.3203125,19819,75064.203125,0.543471992015839,1.75592339038849,0.330361127853394,0.229108452796936,1.46925616264343,-1.00187313556671,0.204981058835983,0.150326505303383,-1.20520424842834,0.471017926931381,1.12353813648224,10108.599609375,0.2282
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595410.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Ileum.595400.fcs",12231.1201171875,10629,74050.2890625,15132.9609375,13205,73969.4140625,0.729789853096008,1.86075973510742,0.192978531122208,0.207350745797157,1.19910740852356,-0.88227254152298,0.273280769586563,-0.0449794121086597,-1.198845744133,1.32009613513947,1.13636839389801,12049.2001953125,0.2306
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595415.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Jejunum.595402.fcs",11850.6396484375,10900,70733.9140625,18142.919921875,16885,69883.7421875,0.515468955039978,1.82641935348511,0.280598312616348,0.455019772052765,1.3205760717392,-0.813047647476196,0.142507314682007,0.263200223445892,-1.28253829479218,0.43196052312851,1.16690063476562,9272.5,0.1498
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Colon.595421.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Blood.595403.fcs",13334.5795898438,12396.5,70742.5078125,21009.986328125,19686,65371.251953125,0.577236533164978,2.12149107456207,0.313742235302925,0.395197197794914,1.4518466591835,-1.01091235876083,0.398945987224579,0.281991228461266,-1.73247087001801,0.269703507423401,1.51057875156403,9034.80029296875,0.2632
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Colon.595574.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs",12965.01953125,12268,67590.109375,10208.16015625,9184,69314.765625,0.460031658411026,1.78008711338043,0.181916266679764,0.210506394505501,0.978296935558319,-0.724712729454041,0.102969288825989,-0.00256721978075802,-1.43927383422852,0.22175395488739,1.11920320987701,7707,0.3466
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Colon.595581.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_ILN.595405.fcs",19254.009765625,16165,72324.38671875,20124.181640625,17720,74304.5546875,0.934610962867737,1.98349088430405,0.419861286878586,0.723801910877228,1.50386202335358,-0.888292342424393,0.292975172400475,0.296191975474358,-1.15678340196609,0.573610782623291,1.05668979883194,12583.3999023438,0.1044
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs",15201.16015625,12294.5,75714.15234375,32855.22265625,26255,78749.94140625,0.884401977062225,1.69431430101395,0.488339349627495,0.419039249420166,1.77426421642303,-1.09882074594498,0.387085095047951,0.391766890883446,-0.753061294555664,0.759951442480087,0.969884485006332,10003.5498046875,0.3276
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595410.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Ileum.595400.fcs",16529.9697265625,14042.5,76187.5859375,21897.541015625,18435.5,76464.96875,1.09983402490616,1.88259965181351,0.324859008193016,0.438495188951492,1.49223893880844,-0.931357800960541,0.395508080720901,0.0624137111008167,-0.690629512071609,1.86875420808792,0.913112342357635,12082.8500976562,0.3372
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595415.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Jejunum.595402.fcs",17989.16015625,15973,71835.484375,27653.400390625,25431,71068.8359375,0.910182416439056,1.81293487548828,0.479577094316483,0.52878075838089,1.62001168727875,-0.90217912197113,0.311432689428329,0.614927768707275,-0.603889107704163,0.826223313808441,0.961722075939178,9318.7001953125,0.2298
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Colon.595421.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Blood.595403.fcs",14315.6997070312,13178.5,71351.8515625,25120.9267578125,21817,66342.078125,0.738246828317642,2.06989800930023,0.386361315846443,0.539664417505264,1.5432054400444,-0.930188745260239,0.530575126409531,0.383035182952881,-1.53581708669662,0.394480481743813,1.40440613031387,9040.55029296875,0.3084
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Colon.595574.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs",14322.939453125,13354,68101.6953125,12196.4404296875,10155,71773.9921875,0.590574502944946,1.70780682563782,0.227995947003365,0.297877997159958,1.06248843669891,-0.661904335021973,0.169118151068687,0.0300707444548607,-1.3107476234436,0.315143078565598,1.07834792137146,7693.2998046875,0.3922
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Colon.595581.fcs","cluster3","CD127-|CD28+|CD45RA-|CD45RO+|CD69-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_ILN.595405.fcs",28707.37890625,23749,74008.90625,29547.720703125,24673,76542,1.26914429664612,1.96988785266876,0.589366734027863,1.00384593009949,1.79302513599396,-0.942444562911987,0.44297593832016,0.581740140914917,-0.481781303882599,1.00639462471008,0.867984890937805,12626,0.1522
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs","cluster4","CD19+|CD45RA+|CD45RO-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595386.fcs",67296.58203125,51372,83473.23828125,122196.06640625,69575,85928.80078125,2.69089365005493,-1.7555918097496,2.13413918018341,3.25380325317383,2.9666736125946,-0.184172295033932,1.88246673345566,0.685410141944885,3.34692406654358,2.5283374786377,0.126202616840601,9449.2001953125,0.0344
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595410.fcs","cluster4","CD19+|CD45RA+|CD45RO-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Ileum.595400.fcs",65924.30859375,50125.5,76538.9765625,45529.021484375,32912,79148.109375,2.53494715690613,-2.90497386455536,2.33233976364136,5.4584813117981,2.18256556987762,2.12574648857117,1.69419580698013,-0.444719672203064,3.99069535732269,2.35861659049988,0.1077248044312,11763.7998046875,0.0748
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Colon.595415.fcs","cluster4","CD19+|CD45RA+|CD45RO-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Jejunum.595402.fcs",22652.5,19732.5,74640.3671875,24094.80078125,20949,74132,-0.978026449680328,-2.3963714838028,3.583336353302,4.41465973854065,2.8856189250946,4.65183997154236,-0.411046549677849,-1.37465059757233,2.50993645191193,0.84601366519928,-1.12869197130203,9067.39990234375,0.2132
"Colon","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Colon.595421.fcs","cluster4","CD19+|CD45RA+|CD45RO-","D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Blood.595403.fcs",41083.138671875,36527,76393.671875,36527.126953125,29970,76800.28515625,1.82827568054199,-1.01847147941589,2.0823667049408,3.70832443237305,1.96761345863342,1.28934532403946,2.12813997268677,0.676983237266541,2.71925795078278,0.779294818639755,-0.434789523482323,9875,0.0484
