"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CCR7","CD45RO","CD69","CD45RA","CD3","CD127","CD31","CD8","CD19","CD4","CD28","TIME","fraction"
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs",12510.740234375,11303,72179.10546875,20738.701171875,18661,71882.80078125,0.561287492513657,-1.4446861743927,0.170498557388783,-0.190564922988415,1.05021983385086,0.0560520980507135,-0.203835763037205,0.237699963152409,1.64183121919632,0.29627600312233,-1.0354597568512,3849.39990234375,0.0868
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595411.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Blood.595551.fcs",8791.6298828125,7788.5,71179.71484375,16926.30078125,15385.5,70654.4609375,0.441423311829567,-1.55284994840622,0.106209710240364,-0.0137540325522423,0.644645601511002,0.343216463923454,0.0165775055065751,0.105977211147547,1.70347189903259,0.326937109231949,-1.14544421434402,8438,0.07
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595417.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_ILN.595553.fcs",13849.3901367188,12787,70617.51953125,33496.7421875,31228.5,70005.51171875,0.288116529583931,-1.57075959444046,0.0619013588875532,-0.190197095274925,1.17468816041946,-0.186233147978783,-0.340887427330017,0.133083499968052,1.62930941581726,-0.000227731885388494,-1.05952680110931,3249.05004882812,0.0964
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595468.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","Specimen_001_LLN A2 antibody.595554.fcs",12468.099609375,11615,69601.51171875,24683.4013671875,23006.5,67601.46875,0.353690296411514,-1.54359662532806,0.103922165930271,-0.339471325278282,0.985273540019989,-0.0426625702530146,-0.545835912227631,0.185622148215771,1.59355247020721,-0.0217951415106654,-1.05646991729736,1830,0.1172
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/Specimen_001_LLN A2 antibody.595554.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs",83955.8984375,73756,72450.6796875,28118.5322265625,27523,65901.16796875,4.19850754737854,-0.769581973552704,0.385459542274475,0.0196664407849312,1.47835350036621,-0.436868727207184,-0.228758744895458,0.353433802723885,2.6042777299881,0.000449565766757587,-0.164752393960953,1700.44995117188,0.1996
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Lung.595556.fcs",20804.279296875,19133.5,69501.4453125,14804.5209960938,15334,61349.943359375,0.573130488395691,-1.23952895402908,0.283615067601204,0.627085119485855,0.80583181977272,0.283363491296768,-0.52999210357666,0.45019793510437,1.53552347421646,0.0771352425217628,-0.776267528533936,6401.65014648438,0.0256
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_LLN.595562.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Spleen.595557.fcs",12687.3598632812,12153.5,69699.1796875,15959.5854492188,15450,65154.490234375,0.474397659301758,-1.38919860124588,0.13390389084816,0.233556546270847,0.577604800462723,0.238861717283726,-0.141036100685596,0.525101467967033,1.68344986438751,0.185727804899216,-0.954334557056427,8436,0.0124
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D70 CD31 CD28 CD127 Stain 1-10-2013--Specimen_001_LLN.595568.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Blood.595559.fcs",11474.3994140625,10849,68222.8671875,8365.2607421875,8440,61826.30078125,0.284413725137711,-1.60435116291046,0.0903160572052002,0.0700918436050415,0.141935035586357,0.376143395900726,-0.09520573168993,0.0512093156576157,1.59419012069702,0.0565351545810699,-0.99691104888916,8451.7998046875,0.1482
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_LLN.595585.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_ILN.595561.fcs",12565.26953125,10330.5,75004.70703125,17673.12109375,15164,74884.31640625,0.368343338370323,-1.59480983018875,0.109333861619234,0.122198160737753,0.549699902534485,0.283578127622604,0.0366262122988701,0.160476140677929,1.72902554273605,0.13738501816988,-0.953902304172516,4247.55004882812,0.0604
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_LLN.623139.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_LLN.595562.fcs",10297.5595703125,9162,74226.5,12333.6005859375,10201,72105.765625,0.605949103832245,-1.39294528961182,0.278869539499283,0.591417193412781,0.518910527229309,0.304361164569855,0.0646478086709976,0.229512006044388,1.58733534812927,0.288678258657455,-0.990993499755859,1763.30004882812,0.037
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_LLN.623147.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Lung.595563.fcs",28526.98046875,25734,69539.2890625,7884.00048828125,7376,68091.0859375,0.352668315172195,-1.3957986831665,0.149131536483765,-0.0397133156657219,0.744720697402954,0.433886468410492,0.128695517778397,0.929068565368652,1.58153641223907,0.661807894706726,-0.835191547870636,16816.19921875,0.041
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_LLN.623171.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Spleen.595564.fcs",11311.8999023438,10396,72726.4765625,12533.9404296875,11704.5,68751.25390625,0.546869546175003,-1.47632974386215,0.159792304039001,0.157727971673012,0.726810872554779,0.413732185959816,0.130087673664093,0.18227706104517,1.68063586950302,0.53881248831749,-0.895380645990372,12772.900390625,0.0976
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs",77975.84765625,68469,75019.4765625,28991.521484375,25014.5,75284.13671875,2.01300716400146,3.37569856643677,2.91917061805725,0.895751029253006,3.73600029945374,2.31038784980774,-0.284997031092644,-1.18699479103088,1.19196027517319,3.68669986724854,1.16760545969009,3366,0.136
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595411.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Blood.595551.fcs",65049.779296875,57543,74529.16015625,30903.12109375,27122.5,74970.14453125,2.39314115047455,4.05557727813721,3.08975481987,1.80701214075089,4.16001343727112,2.93330788612366,-0.259848952293396,-1.3378643989563,1.67250514030457,4.01487612724304,1.62585765123367,8980.4501953125,0.0696
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595417.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_ILN.595553.fcs",68705.3359375,60996,74122.1171875,29765.880859375,25848,74495.2890625,2.15741324424744,2.87433624267578,2.27714276313782,0.401625484228134,2.52809286117554,2.00582242012024,-0.0219444073736668,-1.44009649753571,1.17577564716339,4.24699687957764,1.34743988513947,3419.19995117188,0.089
