"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CCR7","CD45RO","CD69","CD45RA","CD3","CD127","CD31","CD8","CD19","CD4","CD28","TIME","fraction"
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Lung.595425.fcs","cluster1","CD4-|CD45RA-|CD69-","D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Spleen.595578.fcs",11691.1196289062,10679.5,69729.83984375,17635.2060546875,17181,63590.84765625,0.816718876361847,1.31343293190002,0.339206397533417,0.667699933052063,1.05945485830307,-0.372626259922981,-0.295120090246201,0.170724749565125,0.280374675989151,0.182349167764187,0.209909297525883,5071.89990234375,0.6672
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Blood.595579.fcs",11831.3701171875,10760,71633.58984375,14432.0405273438,12959,69550.60546875,0.780370563268661,0.408559545874596,0.351711586117744,0.571215271949768,0.990144520998001,-0.279098480939865,0.118548613041639,0.0766284577548504,0.824698030948639,0.32681630551815,-0.0947136394679546,1942.34997558594,0.3876
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Lung.595556.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Colon.595581.fcs",9647.3994140625,9020,67346.28125,15944.0703125,16841,59099.96484375,0.761793553829193,0.930907607078552,0.475397646427155,0.765549838542938,1.00678145885468,-0.228070765733719,-0.159177348017693,0.231653913855553,0.248683422803879,0.17361007630825,0.115505151450634,6882.7998046875,0.5062
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Lung.595563.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Ileum.595582.fcs",10382.3994140625,9799.5,68678.53515625,18463.3857421875,18425,64325.611328125,0.825446993112564,1.17132741212845,0.317668214440346,0.386540025472641,1.06611651182175,-0.475871607661247,0.360022932291031,0.247191540896893,0.496805861592293,0.460238069295883,0.0202862275764346,18726.650390625,0.4232
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D70 CD31 CD28 CD127 Stain 1-10-2013--Specimen_001_Lung.595569.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_ILN.595583.fcs",17496.779296875,15759.5,71548.06640625,18471.9462890625,17759.5,66776.89453125,0.955054223537445,1.23080968856812,0.367694690823555,0.466325625777245,1.10484248399734,-0.608804136514664,0.771392196416855,0.218202739953995,0.491017535328865,0.20114777982235,0.0711335241794586,10075.099609375,0.6484
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Lung.595586.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Jejunum.595584.fcs",9550.5400390625,8935.5,68841.03515625,10164.4204101562,9546.5,69151.37890625,0.434665471315384,0.515383929014206,0.283902212977409,0.330906853079796,0.782769471406937,-0.32325442135334,0.253992691636086,0.0198473939672112,0.315876036882401,0.233137525618076,-0.0301224822178483,7925.19995117188,0.7008
"Lung","SDY1097/ResultFiles/Flow_cytometry_result/D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Lung.623140.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_LLN.595585.fcs",11969.5400390625,9820,74597.03125,10762.2001953125,9295,73650.484375,0.560173213481903,0.333227276802063,0.416616499423981,0.482903331518173,0.738276422023773,-0.289027690887451,0.0342906266450882,0.0109962234273553,0.420038849115372,0.2603360414505,0.0127694634720683,5108.89990234375,0.7778
"Lung","SDY1097/ResultFiles/Flow_cytometry_result/D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_Lung.623172.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Lung.595586.fcs",13851.439453125,12119,73966.0390625,27272.16015625,24406,70083.265625,0.733542859554291,0.360159397125244,0.599796235561371,0.440937012434006,1.48567652702332,-0.624234259128571,0.171396389603615,0.354872614145279,0.755978226661682,0.273934602737427,0.0210407841950655,22701.80078125,0.497
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Lung.595425.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Spleen.595578.fcs",12284.9995117188,11343,70739.49609375,21908.7861328125,20601,66009.484375,0.833575248718262,2.44647717475891,0.406667232513428,0.695000022649765,1.46568340063095,-1.23276901245117,0.00230710906907916,0.0611337758600712,-1.87844741344452,0.183399938046932,1.60233819484711,4899.94995117188,0.2484
"Lung","SDY702/ResultFiles/Flow_cytometry_result/D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs","cluster2","CD127-|CD19-|CD28+|CD45RA-|CD45RO+|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Blood.595579.fcs",10597.6796875,9655.5,71651.32421875,15232.8603515625,13643.5,69782.453125,0.77128803730011,2.00817000865936,0.337515234947205,0.43693183362484,1.20349097251892,-0.918837428092957,0.299795389175415,0.0125119662843645,-1.45362365245819,0.431548193097115,1.27153378725052,1904.54998779297,0.1228
