"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD25","CTLA-4","CD69","CD45RA","CD3","CD127","CD103","KI67","CD8","CD4","FOX-P3","TIME","fraction"
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_MLN.622746.fcs","cluster1","CD4-|CD45RA-|CD8-|CTLA-4-","D184 - Farber Joe New Treg D184--Specimen_001_BLD.623026.fcs",30767.341796875,25657,76355.5859375,31698.849609375,24917,73698.5859375,1.09994804859161,-0.616960346698761,0.956490755081177,0.379889696836472,1.95289587974548,-0.800643742084503,0.253027260303497,0.38765549659729,-0.0516710095107555,0.426751255989075,1.12723827362061,4549.39990234375,0.0082
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_MLN.622907.fcs","cluster1","CD4-|CD45RA-|CD8-|CTLA-4-","D184 - Farber Joe New Treg D184--Specimen_001_Colon.623028.fcs",18377.58984375,18620,65416.70703125,7389.89990234375,7299,63989.25390625,0.304547816514969,-2.00344944000244,0.164354473352432,0.239591404795647,1.19116413593292,0.389961749315262,0.55454695224762,0.385778427124023,-1.05885708332062,0.349624842405319,0.860612392425537,11789.2001953125,0.0726
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D135 NX5KEL-F--Specimen_001_MLN.622930.fcs","cluster1","CD4-|CD45RA-|CD8-|CTLA-4-","D184 - Farber Joe New Treg D184--Specimen_001_Ileum.623029.fcs",15869.69921875,16384,65309.9375,6396.599609375,6669,62600.609375,0.141993671655655,-1.6537709236145,0.0441583581268787,-0.321058481931686,0.786687314510345,0.353591084480286,0.525882661342621,0.118427410721779,-0.696808159351349,0.211112037301064,0.629408895969391,4135.10009765625,0.0962
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D184 - Farber Joe New Treg D184--Specimen_001_MLN.623033.fcs","cluster1","CD4-|CD45RA-|CD8-|CTLA-4-","D184 - Farber Joe New Treg D184--Specimen_001_ILN.623030.fcs",25755.9892578125,25467,64163.53515625,11335.169921875,11799.5,63309.716796875,0.357066422700882,-0.578214704990387,0.386219501495361,-0.46572157740593,0.667562484741211,-0.00465766340494156,-0.302221678197384,-0.360318519175053,-0.0448468327522278,0.274081781506538,0.891625016927719,7515.84985351562,0.002
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs","cluster1","CD4-|CD45RA-|CD8-|CTLA-4-","D184 - Farber Joe New Treg D184--Specimen_001_Jejunum.623031.fcs",12285.2700195312,10867,67307.875,5278.31030273438,5182.5,64790.021484375,0.545996487140656,-1.8414134979248,0.285989582538605,0.633025050163269,0.758151054382324,0.761127233505249,0.825962394475937,0.337182059884071,-1.05007690191269,0.595932245254517,0.504899948835373,13203.6000976562,0.0392
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_MLN.622746.fcs","cluster2","CD127-|CD25+|CD3+|CD69+|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_BLD.623026.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_MLN.622907.fcs","cluster2","CD127-|CD25+|CD3+|CD69+|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Colon.623028.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D135 NX5KEL-F--Specimen_001_MLN.622930.fcs","cluster2","CD127-|CD25+|CD3+|CD69+|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Ileum.623029.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D184 - Farber Joe New Treg D184--Specimen_001_MLN.623033.fcs","cluster2","CD127-|CD25+|CD3+|CD69+|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_ILN.623030.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs","cluster2","CD127-|CD25+|CD3+|CD69+|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Jejunum.623031.fcs",262143,255134.5,67336.26171875,262143,124666,137938.765625,5.39030504226685,6.9497377872467,6.03349733352661,7.96967697143555,7.78247237205505,-4.81124687194824,-4.96283578872681,5.10146331787109,5.583500623703,6.65472197532654,5.46598124504089,13370.1000976562,0.0048
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_MLN.622746.fcs","cluster3","CD103-|CD4-|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_BLD.623026.fcs",262143,256963,66857.1171875,262143,242349,70888.6953125,3.44066214561462,4.33641481399536,3.84204268455505,1.61186099052429,4.23060321807861,-3.68178486824036,-2.78056168556213,2.5328733921051,0.962974965572357,1.13028085231781,5.30704689025879,7836.5,6e-04
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_MLN.622907.fcs","cluster3","CD103-|CD4-|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Colon.623028.fcs",262143,254845,67412.7578125,262143,258052,66574.9765625,4.75915670394897,2.98050427436829,5.71660375595093,6.79229784011841,6.20633125305176,4.36011695861816,-3.40164351463318,-3.48902320861816,-2.20957326889038,-2.54794478416443,5.7462043762207,8978.400390625,2e-04
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D135 NX5KEL-F--Specimen_001_MLN.622930.fcs","cluster3","CD103-|CD4-|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Ileum.623029.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D184 - Farber Joe New Treg D184--Specimen_001_MLN.623033.fcs","cluster3","CD103-|CD4-|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_ILN.623030.fcs",262143,255732.5,67178.8046875,262143,258147.5,66550.34375,5.10263657569885,5.52084875106812,3.90519225597382,4.43420362472534,4.74294757843018,-4.42357635498047,-3.42574906349182,4.41383457183838,2.38479936122894,2.82893335819244,5.08928656578064,9456.19979858398,4e-04
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs","cluster3","CD103-|CD4-|CTLA-4+|FOX-P3+","D184 - Farber Joe New Treg D184--Specimen_001_Jejunum.623031.fcs",262143,255176,67325.3046875,262143,244661,70218.8203125,6.51209831237793,6.76428079605103,6.71386671066284,7.46396493911743,4.58361625671387,-4.90607690811157,-4.88424205780029,4.07576751708984,2.50903105735779,2.92260885238647,4.96287155151367,877.599975585938,2e-04
"Mesenteric lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_MLN.622746.fcs","cluster4","CD103-|CD127-|CD25+|CD3+|CD69+|CTLA-4+","D184 - Farber Joe New Treg D184--Specimen_001_BLD.623026.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
