"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CCR7","CD45RO","CD69","CD45RA","CD3","CD127","CD31","CD8","CD19","CD4","CD28","TIME","fraction"
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D31 CD31 CD28 CD127 Stain 11-14-2012--Specimen_001_Spleen.595427.fcs","cluster1","CD4-|CD45RA-|CD69-","D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Spleen.595588.fcs",11317.3193359375,10402,70230.6015625,17676.400390625,17456,65198.8984375,0.696038007736206,1.22729384899139,0.137816354632378,-0.158045157790184,1.13291466236115,-0.598697185516357,1.71882665157318,0.109519444406033,0.319429069757462,0.230021372437477,0.0286400951445103,10587.7001953125,0.8726
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Spleen.595557.fcs","cluster1","CD4-|CD45RA-|CD69-","D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Blood.623134.fcs",13588.6796875,12812.5,69091.984375,20321.9765625,21112.5,63039.5625,0.687386393547058,1.12279188632965,0.337078616023064,0.771602690219879,1.15939086675644,-0.329212173819542,-0.0218590209260583,0.265100553631783,-0.106881257146597,0.128536842763424,0.305973991751671,5940.84985351562,0.4952
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Spleen.595564.fcs","cluster1","CD4-|CD45RA-|CD69-","D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_LLN.623139.fcs",16401.419921875,14146.5,73258.515625,24845.4013671875,23082,67401.96484375,0.427294433116913,0.52418652176857,0.133629702031612,0.0562327038496733,0.888648837804794,-0.420860394835472,0.215486094355583,0.122703157365322,0.274941578507423,0.234013698995113,-0.0583799947053194,4907.19995117188,0.7384
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D70 CD31 CD28 CD127 Stain 1-10-2013--Specimen_001_Spleen.595570.fcs","cluster1","CD4-|CD45RA-|CD69-","D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Lung.623140.fcs",45819.8984375,39881,74408.5,51403.873046875,49306.5,68281.91796875,1.12154448032379,1.72849869728088,0.433576926589012,0.614572525024414,1.4113832116127,-0.83947879076004,0.833732396364212,0.474025085568428,0.768147200345993,0.325575992465019,0.120031300932169,7487,0.7536
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D82 CD31 CD28 CD127 Stain 3-5-2013--Specimen_001_Spleen.595578.fcs","cluster1","CD4-|CD45RA-|CD69-","D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Spleen D60.623141.fcs",65162.939453125,55552.5,70864.9609375,42287.40234375,36162,73276.00390625,0.604639440774918,1.21465969085693,0.294148325920105,0.00452338648028672,1.43811339139938,-0.791390001773834,1.38242220878601,0.235942237079144,0.176069311797619,0.307860404253006,0.307778015732765,3415.5,0.5476
"Spleen","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_Spleen.595588.fcs","cluster1","CD4-|CD45RA-|CD69-","D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Spleen.623142.fcs",20828.8203125,16494,75381.2109375,25644.6015625,21698,75256.2734375,0.349368989467621,0.463312983512878,0.130468040704727,0.155952200293541,1.09167981147766,-0.426120072603226,-0.0399554073810577,0.119577825069427,0.171221658587456,0.244407072663307,0.0807623639702797,2165.80004882812,0.397
"Spleen","SDY1097/ResultFiles/Flow_cytometry_result/D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Spleen D60.623141.fcs","cluster1","CD4-|CD45RA-|CD69-","D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_LLN.623147.fcs",36209.970703125,29646,77809.7421875,24313.5009765625,20420,76630.97265625,0.426610842347145,0.457628384232521,0.182240836322308,0.302241310477257,0.945128440856934,-0.369370192289352,0.113278474658728,0.0694517605006695,0.175606913864613,0.106130767613649,0.128706365823746,4347.85009765625,0.8356
"Spleen","SDY1097/ResultFiles/Flow_cytometry_result/D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_Spleen.623142.fcs","cluster1","CD4-|CD45RA-|CD69-","D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_Spleen.623148.fcs",35361.6796875,29215,77348.3125,23470.0205078125,19599,76232.11328125,0.402444183826447,0.415709808468819,0.192469492554665,0.318515911698341,0.960124045610428,-0.377017632126808,0.131304435431957,0.0799742862582207,0.19535057246685,0.109965942800045,0.134279608726501,4637.15014648438,0.836
"Spleen","SDY1097/ResultFiles/Flow_cytometry_result/D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_Spleen.623148.fcs","cluster1","CD4-|CD45RA-|CD69-","D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_Blood.623169.fcs",19284.759765625,17073,71750.3828125,16129.80078125,14762,69621.4765625,0.861677944660187,0.854854166507721,0.218441635370255,0.182846173644066,1.21183586120605,-0.419908255338669,0.985897421836853,0.487450420856476,0.637999713420868,0.642667949199677,0.123259589076042,23130.099609375,0.2482
"Spleen","SDY1097/ResultFiles/Flow_cytometry_result/D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_Spleen.623173.fcs","cluster1","CD4-|CD45RA-|CD69-","D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_LLN.623171.fcs",13578.3798828125,12219,74030.8984375,20851.560546875,19570,70197.046875,1.07127249240875,1.16486859321594,0.230663999915123,0.00474600167945027,1.31408512592316,-0.731745421886444,1.19150221347809,0.200131356716156,0.789642155170441,0.689825534820557,0.00957601238042116,22328.30078125,0.3614
